22	Begin the Beguine	Porter, Cole	Krance, John
31	El Capitan	Sousa, John Philip	Brion/Schissel
	Fiddler on the Roof	Bock, Jerry	Barker, Warren
40	Footlifter, The	Fillmore, Henry	Foster, Robert E (ed)
151	Play a Simple Melody	Berlin, Irving	Edmondson, John
92	Sea Songs	Vaughn Williams, R.	
124	Sheperd's Hey	Grainger, Percy Aldridge	Schissel, Loras J.
168	Star Spangled Banner A-Flat/B-Flat  		Sousa/Damrosch
101	Strike Up the Band	Gershwin, George &amp; Ira	Barker, Warren
100	Swing's the Thing	Forest, Jimmy	Barker, Warren
271	Tijuana Brass in Concert	Medley	Ricketts, Ted
138	Toccata for Band	Erickson, Frank	
26	Trombone King, The	King, Karl L. 	Paynter, John P.
94	Zacatecas	Codina, Genaro	Thurston, Richard E
