001	The Star Spangled Banner - (2 versions)	Francis Scott Key	(Moffit ) & by (Santelmann)
002	Alabama Folksong Rhapsody		Anne McGinty
003	Allied Honor March	Karl L. King	James Swearingen, editor
004	Amazing Grace  (The Canadian Brass Works)	 Adapted for Concert Band by  Paul Murtha	Luther Henderson
005	America The Beautiful	Samuel A Ward	Bill Moffit
006	American Celebration, An - 1   (McGinty)		Anne McGinty
007	American Celebration, An - 2 (Strommen)	Music: Samel A Ward;   Words: Katherine L Bates	Carl Strommen
008	American Folksong Rhapsody, An	Clare E Grundman	
009	American Riversongs	Pierre La Plante	
010	Armed Forces On Parade		Andrew Balent
011	Armed Forces Salute		Bob Lowden
012	Army of The Nile	Kenneth J Alford	Frederick Fennell
013	Ashokan Farewell	Jay Ungar	Calvin Custer
014	Ballad For Trumpet	Philip Browne	
015	Bandology March	Eric Osterling	
016	Basin Street Blues	Spencer Williams	Paul Jennings
017	Big Band Salute		Eric Osterling
018	Blue and The Grey, The    (No Flute parts)	Clare E Grundman	
019	Blue Ridge Saga	James Swearingen	
020	Blues For A Killed Kat	Jack End	Frederick Fennell
021	Bonds Of Unity March	Karl L. King	James Swearingen
022	Bossa Nova Breeze	James L Hosay	
023	Bride Elect march, The	John Philip Sousa	
024	Broadway Journey	script by Tony Peluso	James Christensen
025	Broadway Tribute, A	George M Cohan	Elliot Del Borgo
026	But Not For Me	George & Ira Gershwin	Warren Barker
027	Can-Can You Name These Tunes?	Jerry Williams	
028	Caravan	Duke Ellington, Irving Mills & Juan Tizol	
029	Carnival of Venice (Fantasie, Theme & Variations On)	Jean Baptiste Arban	Erik W G Leidzen
030	Carousel, Highlights From	Richard Rodgers & Oscar Hammerstein II	Paul Yoder
031	Cartoon Symphony		Larry Clark
032	Castles In Europe 	James Reese Europe	Nicholas J. Contorno
033	Chicago	Fred Ebb & John Cander	Victor Lopez
034	Chicken Chowder	Irene M Giblin	Andrew Balent
035	Clarinet Candy	Leroy Anderson	
036	Clear Track Polka	Eduard Strauss	Alfred Reed
037	Coast Guards March	Karl L. King	James Swearingen
038	Cole Porter Clasics	Cole Porter	Douglas A Wagner
039	Colonel Bogey March           (B&H  5074)	Kenneth J Alford	
040	Cool Blues For Saxophones	James D. Polyhar	
041	Cool Blues For Trombones	James D. Polyhar	
042	Count Basie Salute		John Higgins
043	Dedicatory Overture	Clifton Williams	
044	Die Meistersinger	Richard Wagner	Eric Osterling
045	Disney At The Movies		John Higgins
046	Dixieland Jazz Funeral,  At  a		Jared Spears
047	Dixieland Ramble		Eric Osterling
048	Dorian Rhapsody	Elliot Del Borgo	
049	Downeaster March	David P. Miller	
050	Duke Ellington	Duke Ellington	Calvin Custer
051	Emblem of Unity March		
052	Embraceable You	George & Ira Gershwin	Warren Barker
053	Escapada	David Moore	
054	Fanfare and Ceremonial	Neil McKay	
055	Fantasy On An American Classic		James Swearingen
056	Flutation	Clare E Grundman	
057	Folk Songs From The British Isles		Douglas A Wagner
058	Flutes At The Ballet		Mark Williams
059	Fourth Of July,  The	John Cavacas	
060	Footlifter,  The  (March)	Henry Filmore	Andrew Balent
061	George Washington's Birthday Party		Andy Clark
062	Gershwin Classics		Michael Sweeney
063	God Bless America	Irving Berlin	John Edmondson
064	God Shed His Grace On Thee		Setting By Andrew Glover
065	Good Old Days     Sing-A-Long		James D Ployhar 
066	Good Old USA, The		James Christensen
067	Harlem Nocturne		Earle Hagen
068	Hoagy Carmichael, An American Classic		James Kessler
069	Hobart Centennial March	James Barnes	
070	Homefront, The  (WW-2 Musical Memories)		James Christensen
071	How Long Has This Been Going On?	George & Ira Gershwin	Warren Barker
072	Instant Concert	Harold L Walters	
073	Instant Swing Concert		Eric Osterling
074	In The Forest of the King	Pierre La Plante	
075	In The Miller Mood		
076	Irish Tune From County Derry	(Edited by)  R Mark Rogers	(Set for Military Band by) Percy A Grainger
077	Irving Berlin's Songs For America	Irving Berlin	James Swearingen
078	It Don't Mean A Thing	Duke Ellington & Irving Mills	John Moss
079	 Joyance	Bruce Pearson	
080	Just A Closer Walk With Thee	 Edited for Band by  Calvin Custer	Don Gillis
081	Lassus Trombone	Henry Filmore	Loras Schissel
082	Light Eternal,  The	James Swearingen	
083	Majestia	James Swearingen	
084	Malagueña	Ernesto Lecuona	Jay Bocook
085	Måndelan Landscapes	Philip Sparke	
086	March Of The Steel Men	Charles S Belsterling	
087	Marching Down Broadway		John Moss
088	Marcho Vivo	Everett Maxwell	Tom C Rhodes
